ubigeo,anio,foncomun_soles
021013,2015,369600.0
021014,2015,2262126.0
021015,2015,463929.0
021016,2015,369600.0
021102,2015,369600.0
021103,2015,501004.0
021101,2015,855717.0
021104,2015,369600.0
021105,2015,369600.0
021201,2015,2456459.0
021202,2015,369600.0
021203,2015,394590.0
021204,2015,369600.0
021205,2015,392215.0
021206,2015,1765419.0
021207,2015,1332733.0
021208,2015,1030507.0
021209,2015,369600.0
021210,2015,477305.0
021302,2015,1139992.0
021303,2015,403494.0
021304,2015,649289.0
021307,2015,857590.0
021305,2015,369600.0
021306,2015,1569906.0
021308,2015,369600.0
021301,2015,1550023.0
021402,2015,369600.0
021403,2015,369600.0
021404,2015,369600.0
021405,2015,369600.0
021406,2015,369600.0
021407,2015,369600.0
021401,2015,480741.0
021408,2015,369600.0
021409,2015,391259.0
021410,2015,369600.0
021502,2015,369600.0
021501,2015,1733924.0
021503,2015,1693519.0
021504,2015,369600.0
021505,2015,369600.0
021506,2015,369600.0
021507,2015,369600.0
021508,2015,575165.0
021509,2015,1756128.0
021510,2015,369600.0
021511,2015,740638.0
021602,2015,961844.0
021603,2015,1728065.0
021601,2015,1731345.0
021604,2015,732483.0
021702,2015,568602.0
021703,2015,369600.0
021704,2015,369600.0
021705,2015,369600.0
021706,2015,369600.0
021707,2015,369600.0
021708,2015,369600.0
021701,2015,697681.0
021709,2015,369600.0
021710,2015,369600.0
021802,2015,865870.0
021803,2015,1065891.0
021801,2015,6707838.0
021804,2015,836806.0
021805,2015,964279.0
021806,2015,1283636.0
021809,2015,7721430.0
021807,2015,646782.0
021808,2015,1423767.0
021902,2015,533447.0
021903,2015,369600.0
021904,2015,678995.0
021905,2015,369600.0
021906,2015,886842.0
021907,2015,663035.0
021908,2015,651350.0
021909,2015,1496347.0
021910,2015,442235.0
021901,2015,1697382.0
022002,2015,588232.0
022003,2015,1233290.0
022004,2015,410565.0
022005,2015,2646256.0
022006,2015,575598.0
022007,2015,589711.0
022008,2015,1443080.0
022001,2015,2740457.0
030101,2015,4397363.0
030103,2015,817718.0
030104,2015,3610998.0
030102,2015,369600.0
030105,2015,1208337.0
030106,2015,1305388.0
030107,2015,1034411.0
030108,2015,894344.0
030109,2015,1443488.0
030201,2015,7625610.0
030202,2015,1403519.0
030203,2015,376027.0
030204,2015,1331202.0
030205,2015,1077704.0
030206,2015,369600.0
030219,2015,624984.0
030207,2015,1969264.0
030208,2015,1126651.0
030209,2015,2044752.0
030210,2015,877953.0
030211,2015,369600.0
030212,2015,754784.0
030213,2015,4432155.0
030214,2015,548435.0
030215,2015,1688487.0
030216,2015,2903655.0
030217,2015,737524.0
030218,2015,893465.0
030220,2015,929334.0
030301,2015,818856.0
030302,2015,369600.0
030303,2015,378817.0
030304,2015,454495.0
030305,2015,804071.0
030306,2015,369600.0
030307,2015,389353.0
030402,2015,369600.0
030403,2015,369600.0
030405,2015,369600.0
030406,2015,1326694.0
030401,2015,1834185.0
030404,2015,448838.0
030407,2015,369600.0
030408,2015,369600.0
030409,2015,500783.0
030410,2015,369600.0
030411,2015,369600.0
